msmarco_passage_00_811354181,"Tenants must be prepared to deal with the landlord's fear of  liability. In most circumstances, a landlord isn't liable for injuries inflicted by a  tenant's dog. Just leasing premises to a tenant with a dog usually isn't  enough, by itself, to make a landlord legally responsible for a tenant's dog. For example, if a tenant's apparently friendly dog bites someone, the  landlord isn't liable for the injury. 33."
msmarco_passage_00_811359731,"The tenant's dog, which was kept to guard the  building, roamed all of it. When the dog bit someone, the landlord and  the tenant were both held liable. 48. A landlord who lived off the premises hired a manager to take care of his  Illinois apartment building."
msmarco_passage_00_811362170,"In general, when a tenant's dog injures someone, courts hold the  landlord liable only if the landlord: knew the dog was dangerous and could have had the dog removed; or. ""harbored"" or ""kept"" the tenant's dog - that is, cared for or had some  control over the dog. These factors are discussed just below. They apply to homeowners'  associations, which control common areas in their developments, as well as  traditional landlords. 34."
msmarco_passage_00_811362771,"37. But not all states use this rule. Under some laws, landlords are not  liable even when they know a tenant's dog is likely to hurt someone. A  Montana rancher, for example, knew that a dog belonging to his foreman  (who lived on the rancher's property) had bitten someone."
msmarco_passage_00_811364025,"In practice, that means the  landlord must know that the dog has already threatened or injured someone. For example, a landlord who knows only that a tenant's dog is kept  chained and barks at people who approach probably will not be held liable  if the dog bites someone."
msmarco_passage_01_612250505,"If a tenant breaks a lease or damages the apartment, furniture or appliances, the landlord has some financial compensation. If you are a good tenant who did none of these things, you are entitled to a full refund of your security deposit when you move out."
msmarco_passage_01_726574543,"The general rule holds that a landlord isn't liable to a tenant, or anyone else, for physical harm caused by a condition on the property. This general rule is based partially on the landlord's presumed lack of control over the property once it's leased, but the rule has numerous important exceptions."
msmarco_passage_01_726901941,"In residential settings as well, landlords may be held liable to tenants or third parties for slip and fall injuries on rental property. To hold a landlord responsible for an injury, a tenant must show that: The landlord's failure to take reasonable steps to avoid an accident caused the tenant's slip and fall injury."
msmarco_passage_01_863886974,"2010 Maryland Code. REAL PROPERTY. TITLE 8 - LANDLORD AND TENANT. Subtitle 4 - Landlord's Remedies Other Than Distraint. Section 8-402 - Holding over.    8-402. Holding over. (a) Liability.-. (1) A tenant under any periodic tenancy, or at the expiration of a lease, and someone holding under the tenant, who shall unlawfully hold over beyond the expiration of the lease or termination of the tenancy, shall be liable to the landlord for the actual damages caused by the holding over."
msmarco_passage_02_15348500,"If a tenant notifies a landlord that the elevator is broken, the landlord has express actual notice of the defect. Should the landlord fail to repair the elevator and another tenant is injured while riding it, the landlord would be liable for the tenant's injuries. Actual notice can be presumed if an average person, having witness of the same evidence, should know that a particular fact exists."
msmarco_passage_02_500355726,Is a landlord liable if a tenant or visitor is injured on the rental property? | OpenJurist.
msmarco_passage_02_500355930,Advertisement. Is a landlord liable if a tenant or visitor is injured on the rental property? A landlord may be liable to the tenant--or others-for injuries caused by dangerous or defective conditions on the rental property.
msmarco_passage_02_500357167,"In order to hold the landlord responsible, the tenant must prove that the landlord was negligent and that the landlord's negligence caused an injury. To do this, the injured person must show that: the landlord had control over the problem that caused the injury, the accident was foreseeable,"
msmarco_passage_02_500357962,"fixing the problem (or at least giving adequate warnings) would not have been unreasonably expensive or difficult, a serious injury was the probable consequence of not fixing the problem, the landlord failed to take reasonable steps to avert the accident, the landlord's failure-his negligence caused the tenant's accident, and."
msmarco_passage_02_500358436,"the tenant was genuinely hurt. For example, if a tenant falls and breaks his ankle on a broken front door step, the landlord will be liable if the tenant can show that: it was the landlord's responsibility to maintain the steps (this would usually be the case, because the steps are part of the common area, which is the landlord's responsibility)"
msmarco_passage_02_500358924,"an accident of this type was foreseeable (falling on a broken step is highly likely) a repair would have been easy or inexpensive (fixing a broken step is a minor job) the probable result of a broken step is a serious injury (a fall certainly qualifies) the landlord failed to take reasonable measures to maintain the steps (this will be easy to prove if the step was broken for weeks, or even days, but less so if the step broke five minutes earlier and showed no previous signs of weakening)"
msmarco_passage_02_500359570,"the broken step caused the injury (this is easy to prove if the tenant has a witness to the fall, but might be hard if there are no witnesses and the landlord claims that the tenant really got hurt somewhere else and is attempting to pin the blame on the landlord), and."
msmarco_passage_02_500359957,"the tenant is really hurt (in the case of a broken bone, this is easy to establish). A tenant can file a personal injury lawsuit for medical bills, lost earnings, pain and other physical suffering, permanent physical disability, disfigurement, and emotional distress."
msmarco_passage_02_500360353,"Feel free to ask a legal questions that you would like answered. Your question will go directly and only to Deskin Law Firm, a professional law corporation. Deskin Law Firm will contact you directly to discuss your situation, usually via telephone, so please provide multiple ways to reach you via phone."
msmarco_passage_02_720119353,Properly maintain common areas. Warn of hidden dangers which they are (or should be) aware of. Make safe furnished dwellings on short term leases. A landlord is only liable for the injuries of renters and visitors in circumstances where the landlord's negligence has caused the injuries in the above cases.
msmarco_passage_02_720119813,"For example, let's say there is a broken step on the front stairwell of your apartment, so you use a properly functioning back stairwell that is well lit. You fall and injure yourself. The landlord's negligence may not be deemed to be the direct cause of your injuries and the landlord might not be liable for damages."
msmarco_passage_02_720120673,"Liability for Tenant Injuries and Insurance for Landlords. Created by FindLaw's team of legal writers and editors | Last updated March 04, 2020. Landlord-tenant laws are different in every state. They also differ in different municipalities. Additionally, you may have duties coming from the lease and rental agreements."
msmarco_passage_02_720121570,"The damage that resulted (the injury) was serious and probable (i.e., foreseeable) The landlord's negligence directly caused the injury. In order to hold the landlord liable, the tenant will have to prove each of the above elements. Take the example of the broken stairwell, above."
msmarco_passage_02_720122005,"Assume the tenant took the front stairwell, stepped on the broken step, injured himself, and that the step had been broken for several months. The tenant could prove: The landlord had the duty to fix, but did not."
msmarco_passage_02_720124377,"We address some common tenant concerns related to liability for tenant injuries below. For the laws specific to your state, see our state-by-state listing. Are landlord insurance policies available? Is a landlord liable for injuries to visitors?"
msmarco_passage_02_720124768,Liability for Tenant Injuries and Insurance for Landlords - FindLaw. FindLaw. Learn About The Law. Real Estate Law. Landlord Tenant Law. Liability for Tenant Injuries and Insurance for Landlords.
msmarco_passage_02_720125121,"Yes. Just as there are insurance policies that pay landlords for damage or loss due to fire, flooding, earthquakes, and burglary, there are landlord insurance policies that can be purchased to cover damages from tenant injuries. While they are not cheap, comprehensive general liability policies are often necessary."
